"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2002","Slovakia","Total","Thousand persons","Total","484",""
"2002","Slovakia","Total","Percentage of total population","Total","11.9",""
"2002","Slovakia","Total","Percentage of active population","Total","18.8",""
"2002","Finland","Total","Thousand persons","Total","237",""
"2002","Finland","Total","Percentage of total population","Total","6.1",""
"2002","Finland","Total","Percentage of active population","Total","9.1",""
"2002","Sweden","Total","Thousand persons","Total","277",""
"2002","Sweden","Total","Percentage of total population","Total","4.3",""
"2002","Sweden","Total","Percentage of active population","Total","6.0",""
"2002","United Kingdom","Total","Thousand persons","Total","1,503",""
"2002","United Kingdom","Total","Percentage of total population","Total","3.5",""
"2002","United Kingdom","Total","Percentage of active population","Total","5.1",""
"2002","Iceland","Total","Thousand persons","Total",":",""
"2002","Iceland","Total","Percentage of total population","Total",":",""
"2002","Iceland","Total","Percentage of active population","Total",":",""
"2002","Norway","Total","Thousand persons","Total","87",""
"2002","Norway","Total","Percentage of total population","Total","2.8",""
"2002","Norway","Total","Percentage of active population","Total","3.7",""
"2002","Turkey","Total","Thousand persons","Total",":",""
"2002","Turkey","Total","Percentage of total population","Total",":",""
"2002","Turkey","Total","Percentage of active population","Total",":",""
"2003","Belgium","Total","Thousand persons","Total","362",""
"2003","Belgium","Total","Percentage of total population","Total","4.7",""
"2003","Belgium","Total","Percentage of active population","Total","8.2",""
"2003","Bulgaria","Total","Thousand persons","Total","453",""
"2003","Bulgaria","Total","Percentage of total population","Total","7.3",""
"2003","Bulgaria","Total","Percentage of active population","Total","13.7",""
"2003","Czech Republic","Total","Thousand persons","Total","399",""
"2003","Czech Republic","Total","Percentage of total population","Total","5.0",""
"2003","Czech Republic","Total","Percentage of active population","Total","7.8",""
"2003","Denmark","Total","Thousand persons","Total","155",""
"2003","Denmark","Total","Percentage of total population","Total","3.9",""
"2003","Denmark","Total","Percentage of active population","Total","5.4",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,810",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","9.7",""
"2003","Estonia","Total","Thousand persons","Total","70",""
"2003","Estonia","Total","Percentage of total population","Total","6.6",""
"2003","Estonia","Total","Percentage of active population","Total","10.3",""
"2003","Ireland","Total","Thousand persons","Total","87",""
"2003","Ireland","Total","Percentage of total population","Total","3.0",""
"2003","Ireland","Total","Percentage of active population","Total","4.6",""
"2003","Greece","Total","Thousand persons","Total","460","i"
"2003","Greece","Total","Percentage of total population","Total","5.6","i"
"2003","Greece","Total","Percentage of active population","Total","9.7","i"
"2003","Spain","Total","Thousand persons","Total","2,267",""
"2003","Spain","Total","Percentage of total population","Total","6.9",""
"2003","Spain","Total","Percentage of active population","Total","11.5",""
"2003","France","Total","Thousand persons","Total","2,338",""
"2003","France","Total","Percentage of total population","Total","5.0",""
"2003","France","Total","Percentage of active population","Total","8.5",""
"2003","Croatia","Total","Thousand persons","Total","255",""
"2003","Croatia","Total","Percentage of total population","Total",":",""
"2003","Croatia","Total","Percentage of active population","Total","14.1",""
"2003","Italy","Total","Thousand persons","Total","2,050",""
"2003","Italy","Total","Percentage of total population","Total","4.6",""
"2003","Italy","Total","Percentage of active population","Total","8.4",""
"2003","Cyprus","Total","Thousand persons","Total","14",""
"2003","Cyprus","Total","Percentage of total population","Total","3.7",""
"2003","Cyprus","Total","Percentage of active population","Total","4.1",""
"2003","Latvia","Total","Thousand persons","Total","127",""
"2003","Latvia","Total","Percentage of total population","Total","7.2",""
"2003","Latvia","Total","Percentage of active population","Total","11.6",""
"2003","Lithuania","Total","Thousand persons","Total","204",""
"2003","Lithuania","Total","Percentage of total population","Total","7.8",""
"2003","Lithuania","Total","Percentage of active population","Total","12.4",""
"2003","Luxembourg","Total","Thousand persons","Total","7",""
"2003","Luxembourg","Total","Percentage of total population","Total","2.1",""
"2003","Luxembourg","Total","Percentage of active population","Total","3.8",""
"2003","Hungary","Total","Thousand persons","Total","240",""
"2003","Hungary","Total","Percentage of total population","Total","3.2",""
"2003","Hungary","Total","Percentage of active population","Total","5.8",""
"2003","Malta","Total","Thousand persons","Total","12",""
"2003","Malta","Total","Percentage of total population","Total","4.0",""
"2003","Malta","Total","Percentage of active population","Total","7.6",""
"2003","Netherlands","Total","Thousand persons","Total","395",""
"2003","Netherlands","Total","Percentage of total population","Total","2.6",""
"2003","Netherlands","Total","Percentage of active population","Total","4.8",""
"2003","Austria","Total","Thousand persons","Total","186","i"
"2003","Austria","Total","Percentage of total population","Total","2.8","i"
"2003","Austria","Total","Percentage of active population","Total","4.8","i"
"2003","Poland","Total","Thousand persons","Total","3,308",""
"2003","Poland","Total","Percentage of total population","Total","11.4",""
"2003","Poland","Total","Percentage of active population","Total","19.8",""
"2003","Portugal","Total","Thousand persons","Total","395",""
"2003","Portugal","Total","Percentage of total population","Total","4.7",""
"2003","Portugal","Total","Percentage of active population","Total","7.4",""
"2003","Romania","Total","Thousand persons","Total","767","i"
"2003","Romania","Total","Percentage of total population","Total","4.1","i"
"2003","Romania","Total","Percentage of active population","Total","7.7","i"
"2003","Slovenia","Total","Thousand persons","Total","64",""
"2003","Slovenia","Total","Percentage of total population","Total","4.0",""
"2003","Slovenia","Total","Percentage of active population","Total","6.7",""
"2003","Slovakia","Total","Thousand persons","Total","457",""
"2003","Slovakia","Total","Percentage of total population","Total","11.2",""
"2003","Slovakia","Total","Percentage of active population","Total","17.7",""
"2003","Finland","Total","Thousand persons","Total","235",""
"2003","Finland","Total","Percentage of total population","Total","6.0",""
"2003","Finland","Total","Percentage of active population","Total","9.0",""
"2003","Sweden","Total","Thousand persons","Total","306",""
"2003","Sweden","Total","Percentage of total population","Total","4.8",""
"2003","Sweden","Total","Percentage of active population","Total","6.6",""
"2003","United Kingdom","Total","Thousand persons","Total","1,464",""
"2003","United Kingdom","Total","Percentage of total population","Total","3.4",""
"2003","United Kingdom","Total","Percentage of active population","Total","5.0",""
"2003","Iceland","Total","Thousand persons","Total","5,445",""
"2003","Iceland","Total","Percentage of total population","Total","2.7",""
"2003","Iceland","Total","Percentage of active population","Total","3.3",""
"2003","Norway","Total","Thousand persons","Total","100",""
"2003","Norway","Total","Percentage of total population","Total","2.9",""
"2003","Norway","Total","Percentage of active population","Total","4.2",""
"2003","Turkey","Total","Thousand persons","Total",":",""
"2003","Turkey","Total","Percentage of total population","Total",":",""
"2003","Turkey","Total","Percentage of active population","Total",":",""
"2004","Belgium","Total","Thousand persons","Total","379",""
"2004","Belgium","Total","Percentage of total population","Total","4.9",""
"2004","Belgium","Total","Percentage of active population","Total","8.4",""
"2004","Bulgaria","Total","Thousand persons","Total","404",""
"2004","Bulgaria","Total","Percentage of total population","Total","6.6",""
"2004","Bulgaria","Total","Percentage of active population","Total","12.1",""
"2004","Czech Republic","Total","Thousand persons","Total","426",""
"2004","Czech Republic","Total","Percentage of total population","Total","5.3",""
"2004","Czech Republic","Total","Percentage of active population","Total","8.3",""
"2004","Denmark","Total","Thousand persons","Total","160",""
"2004","Denmark","Total","Percentage of total population","Total","4.0",""
"2004","Denmark","Total","Percentage of active population","Total","5.5",""
"2004","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","4,127",""
"2004","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"2004","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","10.4",""
"2004","Estonia","Total","Thousand persons","Total","68",""
"2004","Estonia","Total","Percentage of total population","Total","6.5",""
"2004","Estonia","Total","Percentage of active population","Total","10.1",""
"2004","Ireland","Total","Thousand persons","Total","88",""
"2004","Ireland","Total","Percentage of total population","Total","2.9",""
"2004","Ireland","Total","Percentage of active population","Total","4.5",""
"2004","Greece","Total","Thousand persons","Total","520",""
"2004","Greece","Total","Percentage of total population","Total","6.1",""
"2004","Greece","Total","Percentage of active population","Total","10.6",""
"2004","Spain","Total","Thousand persons","Total","2,234",""
"2004","Spain","Total","Percentage of total population","Total","6.7",""
"2004","Spain","Total","Percentage of active population","Total","11.0",""
"2004","France","Total","Thousand persons","Total","2,459",""
"2004","France","Total","Percentage of total population","Total","5.2",""
"2004","France","Total","Percentage of active population","Total","8.9",""
"2004","Croatia","Total","Thousand persons","Total","255",""
"2004","Croatia","Total","Percentage of total population","Total",":",""
"2004","Croatia","Total","Percentage of active population","Total","13.8",""
"2004","Italy","Total","Thousand persons","Total","1,944",""
"2004","Italy","Total","Percentage of total population","Total","4.4",""
"2004","Italy","Total","Percentage of active population","Total","8.0",""
"2004","Cyprus","Total","Thousand persons","Total","16","i"
"2004","Cyprus","Total","Percentage of total population","Total","3.4","i"
"2004","Cyprus","Total","Percentage of active population","Total","4.6","i"
"2004","Latvia","Total","Thousand persons","Total","128",""
"2004","Latvia","Total","Percentage of total population","Total","7.3",""
"2004","Latvia","Total","Percentage of active population","Total","11.7",""
"2004","Lithuania","Total","Thousand persons","Total","173",""
"2004","Lithuania","Total","Percentage of total population","Total","6.7",""
"2004","Lithuania","Total","Percentage of active population","Total","10.9",""
"2004","Luxembourg","Total","Thousand persons","Total","10",""
"2004","Luxembourg","Total","Percentage of total population","Total","3.0",""
"2004","Luxembourg","Total","Percentage of active population","Total","5.0",""
"2004","Hungary","Total","Thousand persons","Total","252",""
"2004","Hungary","Total","Percentage of total population","Total","3.3",""
"2004","Hungary","Total","Percentage of active population","Total","6.1",""
"2004","Malta","Total","Thousand persons","Total","11",""
"2004","Malta","Total","Percentage of total population","Total","3.8",""
"2004","Malta","Total","Percentage of active population","Total","7.2",""
"2004","Netherlands","Total","Thousand persons","Total","466",""
"2004","Netherlands","Total","Percentage of total population","Total","3.2",""
"2004","Netherlands","Total","Percentage of active population","Total","5.7",""
"2004","Austria","Total","Thousand persons","Total","213",""
